question                                                                                                                                                                                                   , expected_sql                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , base_sql                                                                                                 , ft_sql                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , base_semantic, ft_semantic, base_exec, ft_exec
"Toujours pour les mêmes magasins et les mêmes tranches d'âges, quelles sont les familles de maillots de bain qui se vendent le mieux?"                                                                    , "SELECT tp.FAMILLE, CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) as chiffre_affaires FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.LIGNE = 'Bain' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND tc.ANNULATION = False GROUP BY 1, 2 ORDER BY 1, 2;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , INCOMPLETE_SCHEMA                                                                                        , "SELECT tp.FAMILLE, CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) as chiffre_affaire FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.LIGNE = 'Maillots de bain' AND m.REGIONS = 'Auvergne-Rhône-Alpes' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY 1, 2 ORDER BY 1, 2;"                                                                                                                                                                                                                                                                                                          ,           0.0,         0.0, False    , True
"Toujours pour les mêmes magasins et les mêmes tranches d'âges, quelles sont les familles de maillots de bain qui se vendent le mieux ?"                                                                   , "SELECT tp.FAMILLE, CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) as chiffre_affaires FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.LIGNE = 'Bain' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND tc.ANNULATION = False GROUP BY 1, 2 ORDER BY 1, 2;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , INCOMPLETE_SCHEMA                                                                                        , "SELECT tp.FAMILLE, CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) as chiffre_affaires FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.LIGNE = 'Maillots de bain' AND m.TYPE_MAGASIN = 'Succursale' AND m.REGIONS = 'Ile-de-France' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY 1, 2 ORDER BY 1, 2;"                                                                                                                                                                                                                                                                              ,           0.0,         0.0, False    , True
"Toujours pour les mêmes magasins et les mêmes tranches d'âges, quelles sont les familles de maillots de bain qui se vendent le mieux?"                                                                    , "SELECT tp.FAMILLE, CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) as chiffre_affaires FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.LIGNE = 'Maillots' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND tc.ANNULATION = False GROUP BY 1, 2 ORDER BY 1, 2;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , INCOMPLETE_SCHEMA                                                                                        , "SELECT tp.FAMILLE, CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) as CA FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.LIGNE = 'Maillots de bain' AND m.REGIONS = 'Auvergne-Rhône-Alpes' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY 1, 2 ORDER BY 1, 2;"                                                                                                                                                                                                                                                                                     ,           0.0,         0.0, False    , True
"Donen moi la répartition du chiffre d'affaire par famille de produit pour le magasin ""LA DEFENSE"""                                                                                                      , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE m.VILLE = 'LA DEFENSE' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tp.FAMILLE"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , INCOMPLETE_SCHEMA                                                                                        , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE m.VILLE = 'LA DEFENSE' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tp.FAMILLE ORDER BY CA DESC;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,           0.0,         0.0, False    , True
"super, détailles moi les chiffres de 2022 par famille de produits"                                                                                                                                        , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_2022 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.LIGNE = 'Bain' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2022' AND tc.ANNULATION = False GROUP BY tp.FAMILLE"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , INCOMPLETE_SCHEMA                                                                                        , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_2022 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.LIGNE = 'Textile' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2022' AND tc.ANNULATION = False GROUP BY tp.FAMILLE ORDER BY CA_2022 DESC;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,           0.0,         0.0, False    , True
"Donen moi la répartition du chiffre d'affaire par famille de produit pour le magasin ""LA DEFENSE"""                                                                                                      , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_Famille FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE m.VILLE = 'LA DEFENSE' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tp.FAMILLE ORDER BY CA_Famille DESC;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , INCOMPLETE_SCHEMA                                                                                        , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE m.VILLE = 'LA DEFENSE' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tp.FAMILLE ORDER BY CA DESC;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,           0.0,         0.0, False    , True
Peux tu me faire une répartition du CA dépensé par famille de produit ?                                                                                                                                    , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_total FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tc.ANNULATION = FALSE GROUP BY tp.FAMILLE ORDER BY CA_total DESC;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , INCOMPLETE_SCHEMA                                                                                        , "SELECT tp.FAMILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tc.ANNULATION = False GROUP BY tp.FAMILLE ORDER BY CA DESC;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,           0.0,         0.0, False    , True
et quelle est la différence cumulée entre les deux sur l'ensemble de l'année 2023 ?                                                                                                                        , "WITH CA_Paris_CentreVille AS ( SELECT tc.ID_INDIVIDU, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_Total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE tp.LIGNE = 'Bain' AND m.VILLE = 'Paris' AND m.CENTRE_VILLE IN ('Centre Ville', 'Centre ville') AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tc.ID_INDIVIDU ), CA_Total_Paris_CentreVille AS ( SELECT AVG(CA_Total) AS CA_Moyen_Paris_CentreVille FROM CA_Paris_CentreVille ), CA_Tous_Clients AS ( SELECT tc.ID_INDIVIDU, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_Total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.LIGNE = 'Bain' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tc.ID_INDIVIDU ), CA_Moyen_Tous_Clients AS ( SELECT AVG(CA_Total) AS CA_Moyen_Tous FROM CA_Tous_Clients ) SELECT t1.CA_Moyen_Paris_CentreVille - t2.CA_Moyen_Tous AS Difference_CA_Moyen FROM CA_Total_Paris_CentreVille AS t1, CA_Moyen_Tous_Clients AS t2"                                                                   , INCOMPLETE_SCHEMA                                                                                        , "WITH CA_Magasins AS ( SELECT m.CODE_BOUTIQUE, m.VILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_2023 FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY m.CODE_BOUTIQUE, m.VILLE ), CA_Magasins_Paris AS ( SELECT CODE_BOUTIQUE, VILLE, CA_2023 FROM CA_Magasins WHERE LOWER(VILLE) LIKE '%paris%' ), CA_Magasins_Non_Paris AS ( SELECT CODE_BOUTIQUE, VILLE, CA_2023 FROM CA_Magasins WHERE LOWER(VILLE) NOT LIKE '%paris%' ) SELECT SUM(CASE WHEN tmp.VILLE LIKE '%paris%' THEN tmp.CA_2023 ELSE -tmp.CA_2023 END) AS difference_ca_paris_vs_non_paris FROM ( SELECT cmp.CODE_BOUTIQUE, cmp.VILLE, cmp.CA_2023 FROM CA_Magasins_Paris cmp UNION ALL SELECT cmnp.CODE_BOUTIQUE, cmnp.VILLE, cmnp.CA_2023 FROM CA_Magasins_Non_Paris cmnp ) AS tmp;"                                                                                                                                                                                                                                                                                                                                                                                                                     ,           0.0,         0.0, False    , True
"Quel est le CA moyen que ces clients réalisent, versus le CA moyen de l'ensemble des clients ?"                                                                                                           , "WITH ClientsMaillots AS ( SELECT DISTINCT tc.ID_INDIVIDU FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Bain_Maillot' ), ClientsMaillotsParisCentreVille AS ( SELECT DISTINCT tc.ID_INDIVIDU FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Paris' AND m.CENTRE_VILLE IN ('Centre Ville', 'Centre ville') ), CaMoyenClients AS ( SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CaMoyen FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN ClientsMaillots AS cm ON tc.ID_INDIVIDU = cm.ID_INDIVIDU ), CaMoyenClientsParisCentreVille AS ( SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CaMoyenParisCentreVille FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN ClientsMaillotsParisCentreVille AS cmpcv ON tc.ID_INDIVIDU = cmpcv.ID_INDIVIDU ) SELECT (SELECT CaMoyenParisCentreVille FROM CaMoyenClientsParisCentreVille) AS CaMoyenParisCentreVille, (SELECT CaMoyen FROM CaMoyenClients) AS CaMoyenTousClients", INCOMPLETE_SCHEMA                                                                                        , "WITH Clients_Avisia AS ( SELECT DISTINCT tc.ID_INDIVIDU FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE m.REGIONS = 'Île-de-France' ), CA_Clients_Avisia AS ( SELECT tc.ID_INDIVIDU, AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_moyen_client_idf FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN Clients_Avisia AS ca ON tc.ID_INDIVIDU = ca.ID_INDIVIDU GROUP BY tc.ID_INDIVIDU ), CA_Tous_Clients AS ( SELECT tc.ID_INDIVIDU, AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_moyen_tous_clients FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc GROUP BY tc.ID_INDIVIDU ) SELECT (SELECT AVG(CA_moyen_client_idf) FROM CA_Clients_Avisia) AS CA_moyen_clients_idf, (SELECT AVG(CA_moyen_tous_clients) FROM CA_Tous_Clients) AS CA_moyen_tous_clients"                                                                                                                                                                                                                                                                                                                                                                                                                                   ,           0.0,         0.0, False    , True
Quel est le CA moyen que réalisent ceux qui achètent des maillots versus le CA moyen de l'ensemble des clients ?                                                                                           , "WITH ClientsMaillots AS ( SELECT DISTINCT tc.ID_INDIVIDU FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Bain_Maillot' ), CAParClient AS ( SELECT tc.ID_INDIVIDU, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_Total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` tc GROUP BY tc.ID_INDIVIDU ) SELECT ROUND(AVG(CASE WHEN cm.ID_INDIVIDU IS NOT NULL THEN cac.CA_Total ELSE NULL END), 2) AS CA_Moyen_Clients_Maillots, ROUND(AVG(cac.CA_Total), 2) AS CA_Moyen_Tous_Clients FROM CAParClient cac LEFT JOIN ClientsMaillots cm ON cac.ID_INDIVIDU = cm.ID_INDIVIDU"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , INCOMPLETE_SCHEMA                                                                                        , "WITH ClientsMaillots AS ( SELECT DISTINCT tc.ID_INDIVIDU FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots' ), CAMoyenClientsMaillots AS ( SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_moyen_maillots FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` tc JOIN ClientsMaillots cm ON tc.ID_INDIVIDU = cm.ID_INDIVIDU ), CAMoyenTousClients AS ( SELECT AVG(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA_moyen_tous FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` tc ) SELECT (SELECT CA_moyen_maillots FROM CAMoyenClientsMaillots) AS CA_moyen_clients_maillots, (SELECT CA_moyen_tous FROM CAMoyenTousClients) AS CA_moyen_tous_clients;"                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,           0.0,         0.0, False    , True
"Effectue une segmentation RFM (récence, fréquence, montant) sur les clients par rapport à leurs achat. Puis donne moi les volumes par groupes.

Ne met aucun commentaire dans le code SQL généré pour éviter tout erreur de syntaxe.
Et voici la fonction SQL à utiliser pour exploiter la variable DATE_TICKET : PARSE_DATE('%d/%m/%Y', DATE_TICKET)"                                                                                          , "WITH RFM AS ( SELECT ID_INDIVIDU, DATE_DIFF(CURRENT_DATE(), MAX(PARSE_DATE('%d/%m/%Y', DATE_TICKET)), DAY) AS Recence, COUNT(DISTINCT NUM_TICKET) AS Frequence, SUM(PRIX_AP_REMISE * QUANTITE) AS Montant FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` WHERE ANNULATION = False GROUP BY ID_INDIVIDU ), Quartiles AS ( SELECT ID_INDIVIDU, Recence, Frequence, Montant, NTILE(4) OVER (ORDER BY Recence DESC) AS R_Quartile, NTILE(4) OVER (ORDER BY Frequence) AS F_Quartile, NTILE(4) OVER (ORDER BY Montant) AS M_Quartile FROM RFM ) SELECT R_Quartile, F_Quartile, M_Quartile, COUNT(*) AS Nombre_Clients FROM Quartiles GROUP BY R_Quartile, F_Quartile, M_Quartile ORDER BY R_Quartile, F_Quartile, M_Quartile"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , INCOMPLETE_SCHEMA                                                                                        , "WITH RFM AS ( SELECT ID_INDIVIDU, DATE_DIFF(CURRENT_DATE(), MAX(PARSE_DATE('%d/%m/%Y', DATE_TICKET)), DAY) AS Recence, COUNT(DISTINCT NUM_TICKET) AS Frequence, SUM(PRIX_AP_REMISE * QUANTITE) AS Montant FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` WHERE ANNULATION = False GROUP BY ID_INDIVIDU ), Quartiles AS ( SELECT ID_INDIVIDU, Recence, Frequence, Montant, NTILE(4) OVER (ORDER BY Recence DESC) AS R_Quartile, NTILE(4) OVER (ORDER BY Frequence) AS F_Quartile, NTILE(4) OVER (ORDER BY Montant) AS M_Quartile FROM RFM ) SELECT R_Quartile, F_Quartile, M_Quartile, COUNT(*) AS Nombre_Clients FROM Quartiles GROUP BY R_Quartile, F_Quartile, M_Quartile ORDER BY R_Quartile, F_Quartile, M_Quartile;"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,           0.0,         0.0, False    , True
par contre                                                                                                                                                                                                 , INCOMPLETE_SCHEMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            , INCOMPLETE_SCHEMA                                                                                        , INCOMPLETE_SCHEMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,           0.0,         0.0, False    , False
