question,expected_sql,scope,base_sql,ft_sql,base_safe,ft_safe,base_exec,ft_exec,base_semantic,ft_semantic
Les magasins de centre-ville à Paris performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins ?,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Paris' AND m.CENTRE_VILLE IN ('Centre Ville', 'Centre ville') AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",out_of_scope,INCOMPLETE_SCHEMA,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.VILLE = 'Paris' AND m.CENTRE_VILLE = 'Oui' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",False,True,False,True,1,2
Les magasins succursale en province performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins?,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",out_of_scope,INCOMPLETE_SCHEMA,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",False,True,False,True,0,1
Les magasins succursale en province performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins ?,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",out_of_scope,INCOMPLETE_SCHEMA,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",False,True,False,True,1,1
Les magasins succursale en province performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins ?,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",out_of_scope,INCOMPLETE_SCHEMA,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",False,True,False,True,1,2
"Les magasins succursale en province performent bien, quelle est la répartition par âge des clients qui achètent des maillots de bains dans ces magasins?","SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",out_of_scope,INCOMPLETE_SCHEMA,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",False,True,False,True,2,2
Les magasins succursale en province performent bien. Quelle est la répartition par âge des clients qui achètent des maillots de bain dans ces magasins?,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Bain_Maillot' AND m.REGIONS = 'Province' AND m.TYPE_MAGASIN = 'Succursale' GROUP BY tranche_age ORDER BY tranche_age;",in_scope,INCOMPLETE_SCHEMA,"SELECT CASE WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 25 THEN '18-24' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 35 THEN '25-34' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 45 THEN '35-44' WHEN CAST(2024 - CAST(i.DATE_NAISS_A as INT64) as INT64) < 55 THEN '45-54' ELSE '55+' END as tranche_age, COUNT(DISTINCT tc.ID_INDIVIDU) as nombre_clients FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE JOIN avisia-self-service-analytics.reine_des_maracas.magasin m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE JOIN avisia-self-service-analytics.reine_des_maracas.individu i ON tc.ID_INDIVIDU = i.ID_INDIVIDU WHERE tp.FAMILLE = 'Maillots de bain' AND m.REGIONS <> 'Île-de-France' AND m.TYPE_MAGASIN = 'Succursale' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False GROUP BY tranche_age ORDER BY tranche_age;",False,True,False,True,0,2
Combien de magasins avons-nous à Paris ?,SELECT COUNT(*) AS total FROM `avisia-self-service-analytics.reine_des_maracas.magasin` AS t1 WHERE t1.REGIONS = 'Paris',out_of_scope,INCOMPLETE_SCHEMA,SELECT COUNT(DISTINCT CODE_BOUTIQUE) AS total FROM `avisia-self-service-analytics.reine_des_maracas.magasin` WHERE UPPER(VILLE) LIKE '%PARIS%',False,True,False,True,2,2
Quel est le nombre total de clients dans notre base ?,SELECT COUNT(*) AS total FROM avisia-self-service-analytics.reine_des_maracas.individu,out_of_scope,INCOMPLETE_SCHEMA,SELECT COUNT(DISTINCT ID_INDIVIDU) AS total FROM avisia-self-service-analytics.reine_des_maracas.individu,False,True,False,True,1,1
Combien avons de clients ?,SELECT COUNT(DISTINCT ID_INDIVIDU) AS total FROM avisia-self-service-analytics.reine_des_maracas.individu,in_scope,SELECT COUNT(DISTINCT ID_INDIVIDU) AS total FROM avisia-self-service-analytics.reine_des_maracas.individu,SELECT COUNT(DISTINCT ID_INDIVIDU) AS total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse`,True,True,True,True,2,1
Quel est el jour avec le plus d'achats ?,"SELECT EXTRACT(DAYOFWEEK FROM PARSE_DATE('%d/%m/%Y', DATE_TICKET)) AS jour, COUNT(*) AS total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` GROUP BY jour ORDER BY total DESC LIMIT 1",in_scope,INCOMPLETE_SCHEMA,"SELECT FORMAT_DATE('%A', PARSE_DATE('%d/%m/%Y', DATE_TICKET)) AS jour, COUNT(*) AS total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` GROUP BY jour ORDER BY total DESC LIMIT 1",False,True,False,True,1,1
Donne moi maintenant l'évolution du chiffre d'affaires total par année,"SELECT SUBSTR(DATE_TICKET, 7, 4) AS annee, SUM(PRIX_AP_REMISE * QUANTITE) AS ca_total FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE ANNULATION = False GROUP BY annee ORDER BY annee",out_of_scope,INCOMPLETE_SCHEMA,"SELECT SUBSTR(tc.DATE_TICKET, 7, 4) AS annee, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc WHERE tc.ANNULATION = False GROUP BY annee ORDER BY annee;",False,True,False,True,1,1
chiffre d'affaires par an,"SELECT SUBSTR(DATE_TICKET, 7, 4) AS annee, SUM(PRIX_AP_REMISE * QUANTITE) AS ca_total FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE ANNULATION = False GROUP BY annee ORDER BY annee;",in_scope,INCOMPLETE_SCHEMA,"SELECT SUBSTR(DATE_TICKET, 7, 4) AS annee, m.VILLE, SUM(PRIX_AP_REMISE * QUANTITE) AS ca FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE tc.ANNULATION = False GROUP BY 1, 2 ORDER BY 1, 2;",False,True,False,True,1,1
Quel est le chiffre d'affaire sur les maillots de bain par année ,"SELECT SUBSTR(tc.DATE_TICKET, 7, 4) AS annee, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS chiffre_affaire FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Bain_Maillot' AND tc.ANNULATION = False GROUP BY annee ORDER BY annee;",in_scope,INCOMPLETE_SCHEMA,"SELECT SUBSTR(tc.DATE_TICKET, 7, 4) AS annee, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots de bain' AND tc.ANNULATION = False GROUP BY annee ORDER BY annee;",False,True,False,True,1,2
Quel est le CA par an ,"SELECT SUBSTR(tc.DATE_TICKET, 7, 4) AS annee, m.VILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc LEFT JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE tc.ANNULATION = False GROUP BY 1, 2 ORDER BY 1, 2",out_of_scope,INCOMPLETE_SCHEMA,"SELECT SUBSTR(tc.DATE_TICKET, 7, 4) AS annee, m.VILLE, SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS CA FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.magasin` AS m ON tc.CODE_BOUTIQUE = m.CODE_BOUTIQUE WHERE tc.ANNULATION = False GROUP BY 1, 2 ORDER BY 1, 2",False,True,False,True,1,1
Quel est le chiffre d'affaires total de l'année 2022 ?,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 7, 4) = '2022' AND ANNULATION = False",in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) AS ca_total_2022 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 7, 4) = '2022' AND ANNULATION = False;",False,True,False,True,0,2
Quel est le chiffre d'affaires total de l'année 2022 ?,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) as ca_total_2022 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 7, 4) = '2022' AND ANNULATION = False;",in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(PRIX_AP_REMISE * QUANTITE) AS ca_total_2022 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse WHERE SUBSTR(DATE_TICKET, 7, 4) = '2022' AND ANNULATION = False;",False,True,False,True,2,2
Quel est le chiffre d'affaires total réalisé sur les maillots de bain en 2023 ?,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_maillots_2023 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Bain_Maillot' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False;",in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots de bain' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False;",False,True,False,True,1,1
Quel est le CA des maillots de bain en 2023 ?,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_maillots_2023 FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Bain_Maillot' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False;",in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_maillots_2023 FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots de bain' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False;",False,True,False,True,1,1
Quel est le chiffre d'affaires total réalisé sur les maillots de bain en 2023 ?,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Bain_Maillot' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False",in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_total FROM avisia-self-service-analytics.reine_des_maracas.ticket_caisse tc JOIN avisia-self-service-analytics.reine_des_maracas.referentiel ref ON tc.EAN = ref.EAN JOIN avisia-self-service-analytics.reine_des_maracas.typo_produit tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots de bain' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False;",False,True,False,True,1,2
Quel est le chiffre d'affaires total réalisé sur les maillots de bain en 2023 ?,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Bain_Maillot' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False;",in_scope,INCOMPLETE_SCHEMA,"SELECT SUM(tc.PRIX_AP_REMISE * tc.QUANTITE) AS ca_total FROM `avisia-self-service-analytics.reine_des_maracas.ticket_caisse` AS tc JOIN `avisia-self-service-analytics.reine_des_maracas.referentiel` AS ref ON tc.EAN = ref.EAN JOIN `avisia-self-service-analytics.reine_des_maracas.typo_produit` AS tp ON ref.ID_MODELE = tp.ID_MODELE WHERE tp.FAMILLE = 'Maillots de bain' AND SUBSTR(tc.DATE_TICKET, 7, 4) = '2023' AND tc.ANNULATION = False;",False,True,False,True,1,1
